gene_1	gene_2	OG	species	dist_kaks	dist_tree	HGT_kaks	HGT_tree	HGT_topology	HGT
FORC_genomic_gene-AU210_002967	VDAG_Jr2_v4.0.NCBIorder_gene3824	OG0003119	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.532916	0.0	True	True	1	3
FORC_genomic_gene-AU210_013451	Fv10027v4.0_0f176931-d90a-4a8c-a712-1e619d944a0a	OG0001800	Fv10027v4.0_vs_FORC_genomic	0.102351	0.006028	True	True	1	3
FORC_genomic_gene-AU210_015956	VDAG_Jr2_v4.0.NCBIorder_gene6120	OG0000012	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.427603	0.193878	True	True	1	3
FORC_genomic_gene-AU210_006021	VDAG_CQ2_11_01_2016_8255cc71-49f1-4e70-945b-070946a63b73	OG0001342	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.506373	0.191737	True	True	1	3
FORC_genomic_gene-AU210_000671	VDAG_CQ2_11_01_2016_96b50794-f706-4cb6-b7f1-649ad88bd083	OG0001006	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.632768	0.026873	True	True	1	3
FORC_genomic_gene-AU210_000653	Fv10027v4.0_f90d171b-b54f-4af3-b2c9-d1d22674f673	OG0000207	Fv10027v4.0_vs_FORC_genomic	0.123619	0.003367	True	True	1	3
FORC_genomic_gene-AU210_015862	VDAG_Jr2_v4.0.NCBIorder_gene6120	OG0000012	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.41754	0.201085	True	True	1	3
FORC_genomic_gene-AU210_009321	VDAG_Jr2_v4.0.NCBIorder_gene6618	OG0001608	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.729834	0.149491	True	True	1	3
FORC_genomic_gene-AU210_000671	VDAG_Jr2_v4.0.NCBIorder_gene1837	OG0001006	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.632768	0.026873	True	True	1	3
FORC_genomic_gene-AU210_011601	VDAG_Jr2_v4.0.NCBIorder_gene7526	OG0006434	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.36792	0.0	True	True	1	3
FORC_genomic_gene-AU210_006021	VDAG_Jr2_v4.0.NCBIorder_gene1104	OG0001342	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.477814	0.127938	True	True	1	3
FORC_genomic_gene-AU210_015889	VDAG_Jr2_v4.0.NCBIorder_gene6120	OG0000012	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.431518	0.193774	True	True	1	3
FORC_genomic_gene-AU210_007688	VDAG_CQ2_11_01_2016_9c169d78-8c47-45dd-b1fb-55978a0b58e0	OG0001501	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.274727	0.10727141	True	True	1	3
FORC_genomic_gene-AU210_004459	VDAG_Jr2_v4.0.NCBIorder_gene3142	OG0000665	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.772492	0.132618	True	True	1	3
FORC_genomic_gene-AU210_011602	VDAG_Jr2_v4.0.NCBIorder_gene7528	OG0000058	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.517919	0.008380455	True	True	1	3
FORC_genomic_gene-AU210_010739	Fv10027v4.0_a3970087-46f5-4f18-a253-2140f53915ad	OG0001695	Fv10027v4.0_vs_FORC_genomic	0.127094	0.004634	True	True	1	3
FORC_genomic_gene-AU210_000671	Fv10027v4.0_c9c6e5c6-2114-4705-9cd9-3987a3374cec	OG0001006	Fv10027v4.0_vs_FORC_genomic	0.0557626	0.0	True	True	1	3
FORC_genomic_gene-AU210_006747	Fv10027v4.0_9c4d0df6-b7e4-4789-bbe2-d6a54028adc3	OG0001447	Fv10027v4.0_vs_FORC_genomic	0.05748	0.0	True	True	1	3
FORC_genomic_gene-AU210_007891	Fv10027v4.0_510da417-d071-4439-872b-397ec46cfc60	OG0001520	Fv10027v4.0_vs_FORC_genomic	0.123495	0.003959	True	True	1	3
FORC_genomic_gene-AU210_010933	Fv10027v4.0_d67d6ac3-dd36-4597-97fc-bfa993c6156e	OG0001711	Fv10027v4.0_vs_FORC_genomic	0.0898552	0.0051120585	True	True	1	3
FORC_genomic_gene-AU210_001424	VDAG_Jr2_v4.0.NCBIorder_gene466	OG0000044	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.525394	0.091924	True	True	1	3
FORC_genomic_gene-AU210_002589	Fv10027v4.0_7b97be69-a1ba-433b-a11f-0bd5c27230ed	OG0000611	Fv10027v4.0_vs_FORC_genomic	0.119552	0.0	True	True	1	3
FORC_genomic_gene-AU210_011843	Fv10027v4.0_4d80c52d-bd78-40fb-b597-2d3d4aa65529	OG0000885	Fv10027v4.0_vs_FORC_genomic	0.118642	0.0	True	True	1	3
FORC_genomic_gene-AU210_001198	Fv10027v4.0_52dd8e8b-7238-4a3f-b7f3-db6892fff442	OG0000137	Fv10027v4.0_vs_FORC_genomic	0.127056	0.0	True	True	1	3
FORC_genomic_gene-AU210_009056	Fv10027v4.0_97d91c9f-aa80-4ab9-97a5-f2efa8f38488	OG0000705	Fv10027v4.0_vs_FORC_genomic	0.0423566	0.0	True	True	1	3
FORC_genomic_gene-AU210_002848	Fv10027v4.0_8e8e656d-a909-4ff6-862d-d28b890964e2	OG0000244	Fv10027v4.0_vs_FORC_genomic	0.123594	0.00422	True	True	1	3
FORC_genomic_gene-AU210_002730	VDAG_Jr2_v4.0.NCBIorder_gene5190	OG0000076	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.514919	0.03399	True	True	1	3
FORC_genomic_gene-AU210_007895	Fv10027v4.0_54971aa6-82b2-4bb7-8280-e93b1b7bcf3a	OG0000250	Fv10027v4.0_vs_FORC_genomic	0.122983	0.0	True	True	1	3
FORC_genomic_gene-AU210_006047	Fv10027v4.0_9a9c10a1-dd05-4a46-b2b1-a5dbcba1c16b	OG0001376	Fv10027v4.0_vs_FORC_genomic	0.116263	2e-06	True	True	1	3
FORC_genomic_gene-AU210_000653	Fv10027v4.0_770f880b-12bd-4247-9376-1f61c1ddffe4	OG0000207	Fv10027v4.0_vs_FORC_genomic	0.123619	0.003367	True	True	1	3
FORC_genomic_gene-AU210_002671	Fv10027v4.0_5400f635-cf20-4234-b3e0-8f1b3937c5c2	OG0000044	Fv10027v4.0_vs_FORC_genomic	0.117185	0.001573	True	True	1	3
FORC_genomic_gene-AU210_008421	Fv10027v4.0_8e644faa-cf7d-4c2f-8c96-645002bce5bd	OG0005328	Fv10027v4.0_vs_FORC_genomic	0.106535	0.003077	True	True	1	3
FORC_genomic_gene-AU210_000653	Fv10027v4.0_772ad48d-fb53-40f6-a4ba-38077b122e2c	OG0000207	Fv10027v4.0_vs_FORC_genomic	0.123687	0.001477	True	True	1	3
FORC_genomic_gene-AU210_010933	VDAG_CQ2_11_01_2016_f13fed9a-d315-4bae-aeda-f5e620dc12d8	OG0001711	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.361763	0.058479	True	True	1	3
FORC_genomic_gene-AU210_001198	VDAG_Jr2_v4.0.NCBIorder_gene11145	OG0000137	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.726694	0.063417	True	True	1	3
FORC_genomic_gene-AU210_007755	VDAG_CQ2_11_01_2016_f5837179-7b24-4270-ba32-de8754535cde	OG0004964	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.400546	0.135537	True	True	1	3
FORC_genomic_gene-AU210_009650	Fv10027v4.0_cc07e622-b033-4e51-a973-37290b8fe417	OG0000825	Fv10027v4.0_vs_FORC_genomic	0.0426456	0.0	True	True	1	3
FORC_genomic_gene-AU210_001309	Fv10027v4.0_fec91c4f-8d6f-4c1d-8b47-2214037ef860	OG0000561	Fv10027v4.0_vs_FORC_genomic	0.119153	0.0	True	True	1	3
FORC_genomic_gene-AU210_004499	Fv10027v4.0_34767aa1-2a02-4567-8cb1-c23d89aec586	OG0000266	Fv10027v4.0_vs_FORC_genomic	0.100428	0.001882	True	True	1	3
FORC_genomic_gene-AU210_002893	Fv10027v4.0_ce374bb3-7fa0-4fa3-8955-8b9c0df03937	OG0003084	Fv10027v4.0_vs_FORC_genomic	0.123914	0.001438	True	True	1	3
FORC_genomic_gene-AU210_005825	VDAG_CQ2_11_01_2016_95446ddc-72c7-4769-8cdb-783693190a09	OG0001361	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.664003	0.169163	True	True	1	3
FORC_genomic_gene-AU210_010550	VDAG_Jr2_v4.0.NCBIorder_gene7710	OG0000058	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.368895	0.008000455	True	True	1	3
FORC_genomic_gene-AU210_010933	Fv10027v4.0_d80854b1-a133-403f-a11f-66139fac9085	OG0001711	Fv10027v4.0_vs_FORC_genomic	0.0898552	0.0050650584	True	True	1	3
FORC_genomic_gene-AU210_013451	Fv10027v4.0_4cea7743-4b84-4130-8faa-4774614db32e	OG0001800	Fv10027v4.0_vs_FORC_genomic	0.0979979	0.004624	True	True	1	3
FORC_genomic_gene-AU210_006688	Fv10027v4.0_ccfedfe1-5b11-464d-a41b-5fa07498ec4e	OG0001437	Fv10027v4.0_vs_FORC_genomic	0.0986681	0.004107	True	True	1	3
FORC_genomic_gene-AU210_010866	Fv10027v4.0_8ad856c1-224b-4624-9475-6bec1b851572	OG0001706	Fv10027v4.0_vs_FORC_genomic	0.0862946	0.0041493177	True	True	1	3
FORC_genomic_gene-AU210_005825	Fv10027v4.0_2de2c211-2e20-48ad-a85c-8116d9c67aee	OG0001361	Fv10027v4.0_vs_FORC_genomic	0.0993027	0.0028151714	True	True	1	3
FORC_genomic_gene-AU210_005810	VDAG_Jr2_v4.0.NCBIorder_gene9772	OG0001360	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.556375	0.15637	True	True	1	3
FORC_genomic_gene-AU210_010565	Fv10027v4.0_229019cf-a0f8-4fbb-9eef-ddd712abe50d	OG0006061	Fv10027v4.0_vs_FORC_genomic	0.117088	0.0	True	True	1	3
FORC_genomic_gene-AU210_006444	Fv10027v4.0_61f1277d-11ef-4ae2-8204-2754880e974d	OG0000259	Fv10027v4.0_vs_FORC_genomic	0.118228	0.0	True	True	1	3
FORC_genomic_gene-AU210_006747	VDAG_Jr2_v4.0.NCBIorder_gene8324	OG0001447	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.45167	0.089077	True	True	1	3
Fv10027v4.0_c9c6e5c6-2114-4705-9cd9-3987a3374cec	VDAG_CQ2_11_01_2016_96b50794-f706-4cb6-b7f1-649ad88bd083	OG0001006	VDAG_CQ2_11_01_2016_vs_Fv10027v4.0	0.730156	0.026873	True	True	1	3
FORC_genomic_gene-AU210_002671	VDAG_Jr2_v4.0.NCBIorder_gene5445	OG0000044	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.544447	0.14149405	True	True	1	3
FORC_genomic_gene-AU210_010866	VDAG_Jr2_v4.0.NCBIorder_gene5967	OG0001706	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.53028	0.167126	True	True	1	3
FORC_genomic_gene-AU210_005825	VDAG_Jr2_v4.0.NCBIorder_gene576	OG0001361	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.66153	0.155855	True	True	1	3
FORC_genomic_gene-AU210_007759	VDAG_CQ2_11_01_2016_e82be151-e7e0-4577-92b4-4264a379dc18	OG0001511	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.766974	0.21648201	True	True	1	3
FORC_genomic_gene-AU210_010933	VDAG_Jr2_v4.0.NCBIorder_gene131	OG0001711	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.361763	0.058479	True	True	1	3
FORC_genomic_gene-AU210_001480	VDAG_Jr2_v4.0.NCBIorder_gene6395	OG0002572	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.430754	0.071398	True	True	1	3
FORC_genomic_gene-AU210_006404	Fv10027v4.0_b4b6643e-1556-432f-b65d-8684f01c2647	OG0001410	Fv10027v4.0_vs_FORC_genomic	0.110626	0.005677523	True	True	1	3
FORC_genomic_gene-AU210_000585	VDAG_Jr2_v4.0.NCBIorder_gene10811	OG0000995	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.657938	0.108863	True	True	1	3
FORC_genomic_gene-AU210_015800	VDAG_Jr2_v4.0.NCBIorder_gene6120	OG0000012	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.454804	0.195814	True	True	1	3
FORC_genomic_gene-AU210_004583	Fv10027v4.0_13e57d19-24c2-4d81-acf4-7d6ed6615dd2	OG0001297	Fv10027v4.0_vs_FORC_genomic	0.0993847	0.002989	True	True	1	3
FORC_genomic_gene-AU210_001395	VDAG_CQ2_11_01_2016_c51c4eb8-175a-4077-bce5-b5431b0433d9	OG0000351	VDAG_CQ2_11_01_2016_vs_FORC_genomic	1.5228	0.1865812	False	True	1	2
FORC_genomic_gene-AU210_001311	VDAG_Jr2_v4.0.NCBIorder_gene9727	OG0001063	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	2.42216	0.186489	False	True	1	2
FORC_genomic_gene-AU210_014701	VDAG_CQ2_11_01_2016_95db9bf2-8290-415c-8320-acf73a7c87cd	OG0000117	VDAG_CQ2_11_01_2016_vs_FORC_genomic	1.49429	0.20825	False	True	1	2
Fv10027v4.0_5b992613-0d10-49fb-b730-c130f024417a	VDAG_CQ2_11_01_2016_20b0a252-391f-48bf-883a-22917a119b79	OG0000079	VDAG_CQ2_11_01_2016_vs_Fv10027v4.0	1.84919	0.09151023	False	True	1	2
FORC_genomic_gene-AU210_008364	Fv10027v4.0_2f58e7e2-93f9-4218-b7d8-75479bc81616	OG0001554	Fv10027v4.0_vs_FORC_genomic	0.0778989	0.850698	True	False	1	2
FORC_genomic_gene-AU210_016524	Fv10027v4.0_f60ef5b4-aba1-46cd-845b-e1614c59015e	OG0006641	Fv10027v4.0_vs_FORC_genomic	0.0406091	0.080251	True	False	1	2
FORC_genomic_gene-AU210_001066	Fv10027v4.0_1140529c-726c-4ed8-be8f-78011a701f02	OG0002358	Fv10027v4.0_vs_FORC_genomic	0.0259122	0.0	True	True	0	2
VDAG_CQ2_11_01_2016_20461a76-ce4c-4603-bc75-fe19a025a611	VDAG_Jr2_v4.0.NCBIorder_gene609	OG0000183	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00206198	0.001991	True	False	1	2
FORC_genomic_gene-AU210_008846	VDAG_Jr2_v4.0.NCBIorder_gene2700	OG0000456	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.570265	0.372798	True	False	1	2
FORC_genomic_gene-AU210_010796	Fv10027v4.0_b9794570-8ef8-4631-87f3-d48fa3bb15ce	OG0001702	Fv10027v4.0_vs_FORC_genomic	0.109048	0.138454	True	False	1	2
VDAG_CQ2_11_01_2016_20b0a252-391f-48bf-883a-22917a119b79	VDAG_Jr2_v4.0.NCBIorder_gene7473	OG0000079	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00256204	0.0	True	False	1	2
FORC_genomic_gene-AU210_010567	Fv10027v4.0_4149114c-220e-4c82-a79b-dac0e7491a65	OG0001682	Fv10027v4.0_vs_FORC_genomic	0.147261	0.003455	False	True	1	2
FORC_genomic_gene-AU210_007580	Fv10027v4.0_e6d0707c-8ec9-46b1-82b5-65dd5f2f8189	OG0001494	Fv10027v4.0_vs_FORC_genomic	0.0986405	0.223847	True	False	1	2
FORC_genomic_gene-AU210_014972	Fv10027v4.0_8ceb80e1-3002-4047-bc9d-22e79dd87825	OG0001351	Fv10027v4.0_vs_FORC_genomic	0.346901	0.005803	False	True	1	2
FORC_genomic_gene-AU210_011941	Fv10027v4.0_7df862c6-9e7c-4717-b4bc-5a0bd87ee06c	OG0006588	Fv10027v4.0_vs_FORC_genomic	0.117273	0.004014164	True	True	0	2
FORC_genomic_gene-AU210_006008	Fv10027v4.0_9718b0d7-0e2f-4680-abd5-2166328576e7	OG0004260	Fv10027v4.0_vs_FORC_genomic	0.0474586	0.0	True	True	0	2
FORC_genomic_gene-AU210_004975	VDAG_CQ2_11_01_2016_1e720317-ad88-4b56-9018-306abc94777c	OG0000399	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.776042	0.271255	True	False	1	2
VDAG_CQ2_11_01_2016_cb86d348-6dcb-45c5-b019-9056242bd549	VDAG_Jr2_v4.0.NCBIorder_gene2707	OG0000222	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00294009	0.0	True	False	1	2
FORC_genomic_gene-AU210_006343	Fv10027v4.0_10f78c52-d267-4d89-8ae0-67819be9dfc6	OG0004454	Fv10027v4.0_vs_FORC_genomic	0.0736434	2e-06	True	True	0	2
FORC_genomic_gene-AU210_008117	VDAG_Jr2_v4.0.NCBIorder_gene11316	OG0005178	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.723065	0.147739	True	True	0	2
FORC_genomic_gene-AU210_002472	VDAG_Jr2_v4.0.NCBIorder_gene9072	OG0000095	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.637301	0.479667	True	False	1	2
FORC_genomic_gene-AU210_013130	Fv10027v4.0_bb1009f5-7c38-48c6-839c-48abe4ebb82a	OG0000232	Fv10027v4.0_vs_FORC_genomic	0.126282	0.027133	True	False	1	2
VDAG_CQ2_11_01_2016_1e5b2e5e-d167-4648-ba70-fd7520dcf858	VDAG_Jr2_v4.0.NCBIorder_gene7635	OG0001402	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00182383	0.001766	True	False	1	2
VDAG_CQ2_11_01_2016_b30ff055-96bf-46dd-8ceb-a3f4764aeeab	VDAG_Jr2_v4.0.NCBIorder_gene7885	OG0000122	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00270643	0.072988	True	False	1	2
FORC_genomic_gene-AU210_005213	VDAG_Jr2_v4.0.NCBIorder_gene10487	OG0004048	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.698157	1.445788	True	False	1	2
FORC_genomic_gene-AU210_005081	Fv10027v4.0_ac39d46c-270b-4895-a61c-246fdd205c02	OG0001324	Fv10027v4.0_vs_FORC_genomic	0.161098	0.005864	False	True	1	2
FORC_genomic_gene-AU210_001395	VDAG_Jr2_v4.0.NCBIorder_gene353	OG0000351	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	1.5228	0.1865812	False	True	1	2
FORC_genomic_gene-AU210_007560	VDAG_Jr2_v4.0.NCBIorder_gene1636	OG0004861	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.430974	0.199703	True	True	0	2
FORC_genomic_gene-AU210_000392	Fv10027v4.0_bbf4186b-5403-42ad-b3e3-59b66814a17e	OG0000977	Fv10027v4.0_vs_FORC_genomic	0.104594	0.023499	True	False	1	2
VDAG_CQ2_11_01_2016_4ceaf6d0-da96-4292-be00-c9d4b1ad29be	VDAG_Jr2_v4.0.NCBIorder_gene5108	OG0000539	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00221736	0.146602	True	False	1	2
FORC_genomic_gene-AU210_000992	Fv10027v4.0_88a139fe-8156-4bf9-a0bd-49ad01306f54	OG0000345	Fv10027v4.0_vs_FORC_genomic	0.115562	0.0172	True	False	1	2
FORC_genomic_gene-AU210_002984	VDAG_Jr2_v4.0.NCBIorder_gene2955	OG0001184	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.702271	0.56151694	True	False	1	2
FORC_genomic_gene-AU210_013451	Fv10027v4.0_cf7c7ffb-599e-4c3e-b4a0-12d9f48f22cf	OG0001800	Fv10027v4.0_vs_FORC_genomic	0.126104	0.029753	True	False	1	2
FORC_genomic_gene-AU210_001174	VDAG_Jr2_v4.0.NCBIorder_gene11113	OG0002420	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.372841	0.106586	True	True	0	2
VDAG_CQ2_11_01_2016_498c1a2f-006a-4e80-b95a-237b7d9d04f6	VDAG_Jr2_v4.0.NCBIorder_gene11185	OG0000043	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00223561	0.003871	True	False	1	2
FORC_genomic_gene-AU210_004036	VDAG_Jr2_v4.0.NCBIorder_gene5946	OG0003546	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.544208	0.05355819	True	True	0	2
FORC_genomic_gene-AU210_011794	Fv10027v4.0_c6461b2a-3fdb-4a74-a88b-0e8e56cd58f4	OG0001757	Fv10027v4.0_vs_FORC_genomic	0.184613	0.002984	False	True	1	2
FORC_genomic_gene-AU210_013837	Fv10027v4.0_16999fa1-ceb0-4c57-a590-87a6212e74df	OG0000636	Fv10027v4.0_vs_FORC_genomic	0.286136	0.005663	False	True	1	2
VDAG_CQ2_11_01_2016_e0049683-24b4-46ed-be59-4b276dd12641	VDAG_Jr2_v4.0.NCBIorder_gene8926	OG0000684	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00161186	0.013223	True	False	1	2
FORC_genomic_gene-AU210_010739	VDAG_Jr2_v4.0.NCBIorder_gene210	OG0001695	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	1.22214	0.045294	False	True	1	2
FORC_genomic_gene-AU210_013640	Fv10027v4.0_f60ef5b4-aba1-46cd-845b-e1614c59015e	OG0006641	Fv10027v4.0_vs_FORC_genomic	0.0516454	0.080598	True	False	1	2
FORC_genomic_gene-AU210_001635	Fv10027v4.0_a623637f-8e7e-49e4-bd97-1b63c587bc56	OG0000141	Fv10027v4.0_vs_FORC_genomic	0.112883	0.04683786	True	False	1	2
FORC_genomic_gene-AU210_001424	Fv10027v4.0_b32291ed-42bc-42b5-95bd-f98e4255d17a	OG0000044	Fv10027v4.0_vs_FORC_genomic	0.156458	0.001292	False	True	1	2
FORC_genomic_gene-AU210_008981	VDAG_Jr2_v4.0.NCBIorder_gene9136	OG0005412	VDAG_Jr2_v4.0.NCBIorder_vs_FORC_genomic	0.563939	0.19977327	True	True	0	2
FORC_genomic_gene-AU210_003232	Fv10027v4.0_5f4bcd1b-4e9a-424d-9455-7ee4696fc4d3	OG0000626	Fv10027v4.0_vs_FORC_genomic	0.253653	0.005343	False	True	1	2
FORC_genomic_gene-AU210_001635	Fv10027v4.0_10d689b1-b82b-48ea-9a81-c5993d1272ef	OG0000141	Fv10027v4.0_vs_FORC_genomic	0.12062	0.186101	True	False	1	2
FORC_genomic_gene-AU210_008391	Fv10027v4.0_6c38e257-60e1-4239-923f-449fc083e57b	OG0005308	Fv10027v4.0_vs_FORC_genomic	0.107359	0.081186	True	False	1	2
FORC_genomic_gene-AU210_010837	Fv10027v4.0_143a1395-3939-4f11-b7f9-128a1aa906d0	OG0001329	Fv10027v4.0_vs_FORC_genomic	0.110157	0.006453	True	False	1	2
VDAG_CQ2_11_01_2016_c280a4b9-9bef-472d-a24f-a29016efe95f	VDAG_Jr2_v4.0.NCBIorder_gene11133	OG0001016	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00283479	0.008322	True	False	1	2
VDAG_CQ2_11_01_2016_b2f78c97-73cc-4bd5-a98c-47ef8b5516df	VDAG_Jr2_v4.0.NCBIorder_gene29	OG0001700	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.0026011	0.008515185	True	False	1	2
VDAG_CQ2_11_01_2016_3796a947-d8c5-4d4f-90c6-3364fc92c503	VDAG_Jr2_v4.0.NCBIorder_gene3024	OG0001306	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00236098	0.02328327	True	False	1	2
VDAG_CQ2_11_01_2016_2e6ca779-2d16-4a2c-a20a-0b88dcdc93b2	VDAG_Jr2_v4.0.NCBIorder_gene7584	OG0001442	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00231455	0.096946	True	False	1	2
VDAG_CQ2_11_01_2016_b0494ac9-4d4e-4638-b106-f961236cd51e	VDAG_Jr2_v4.0.NCBIorder_gene3124	OG0001284	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00309915	0.148608	True	False	1	2
FORC_genomic_gene-AU210_005960	Fv10027v4.0_60591c8e-c077-491f-a63e-fdafba135b86	OG0004232	Fv10027v4.0_vs_FORC_genomic	0.083012	0.0	True	True	0	2
FORC_genomic_gene-AU210_000291	Fv10027v4.0_4c79eb9f-5457-4e44-9f49-17d929cc2e5f	OG0001935	Fv10027v4.0_vs_FORC_genomic	0.0928832	0.002358	True	True	0	2
FORC_genomic_gene-AU210_009715	Fv10027v4.0_d5e4077c-cadb-4a8d-b349-51503795a2e9	OG0005765	Fv10027v4.0_vs_FORC_genomic	0.127315	1.0178789	True	False	1	2
VDAG_CQ2_11_01_2016_f1284d99-de4f-4d54-ba53-16fd92f77d09	VDAG_Jr2_v4.0.NCBIorder_gene9276	OG0007007	VDAG_Jr2_v4.0.NCBIorder_vs_VDAG_CQ2_11_01_2016	0.00259268	0.002695	True	False	1	2
FORC_genomic_gene-AU210_007689	VDAG_CQ2_11_01_2016_fccaf9a2-51b6-4529-a141-d1d8fc38617d	OG0004926	VDAG_CQ2_11_01_2016_vs_FORC_genomic	0.533364	0.077083	True	True	0	2
