Orthogroup	Species	Mycoplasma_hyopneumoniae	Orthologs
OG0000028	Mycoplasma_genitalium	gi|71852008|gb|AAZ44616.1|	gi|3845041|gb|AAC72468.1|, gi|3845001|gb|AAC71636.1|
OG0000028	Mycoplasma_gallisepticum	gi|71852008|gb|AAZ44616.1|	gi|284812144|gb|AAP56826.2|, gi|284812281|gb|AAP57051.2|
OG0000029	Mycoplasma_agalactiae	gi|71851491|gb|AAZ44099.1|	gi|290752704|emb|CBH40678.1|
OG0000029	Mycoplasma_agalactiae	gi|144227420|gb|AAZ44100.2|	gi|290752705|emb|CBH40679.1|
OG0000029	Mycoplasma_gallisepticum	gi|144227420|gb|AAZ44100.2|	gi|284811856|gb|AAP56387.2|
OG0000029	Mycoplasma_genitalium	gi|144227420|gb|AAZ44100.2|	gi|84626159|gb|AAC71409.2|
OG0000030	Mycoplasma_genitalium	gi|144227597|gb|AAZ44450.2|, gi|144227598|gb|AAZ44451.2|	gi|3844856|gb|AAC71481.1|, gi|3844781|gb|AAC71404.1|
OG0000030	Mycoplasma_gallisepticum	gi|144227597|gb|AAZ44450.2|, gi|144227598|gb|AAZ44451.2|	gi|284811853|gb|AAP56382.2|
OG0000030	Mycoplasma_agalactiae	gi|144227597|gb|AAZ44450.2|, gi|144227598|gb|AAZ44451.2|	gi|290752785|emb|CBH40760.1|
OG0000033	Mycoplasma_genitalium	gi|144227417|gb|AAZ44095.2|	gi|3845066|gb|AAC72490.1|
OG0000033	Mycoplasma_agalactiae	gi|144227417|gb|AAZ44095.2|	gi|290752267|emb|CBH40238.1|, gi|290752987|emb|CBH40963.1|
OG0000033	Mycoplasma_gallisepticum	gi|144227417|gb|AAZ44095.2|	gi|31541051|gb|AAP56353.1|
OG0000036	Mycoplasma_agalactiae	gi|71851517|gb|AAZ44125.1|	gi|290752320|emb|CBH40291.1|
OG0000036	Mycoplasma_gallisepticum	gi|71851517|gb|AAZ44125.1|	gi|31541360|gb|AAP56661.1|, gi|284812198|gb|AAP56912.2|
OG0000036	Mycoplasma_genitalium	gi|71851517|gb|AAZ44125.1|	gi|3844880|gb|AAC71523.1|
OG0000037	Mycoplasma_agalactiae	gi|144227666|gb|AAZ44587.2|	gi|290752370|emb|CBH40341.1|
OG0000037	Mycoplasma_genitalium	gi|144227666|gb|AAZ44587.2|	gi|1045754|gb|AAC71295.1|
OG0000037	Mycoplasma_gallisepticum	gi|144227666|gb|AAZ44587.2|	gi|284812162|gb|ADB96883.1|, gi|284812163|gb|ADB96884.1|
OG0000038	Mycoplasma_genitalium	gi|71851984|gb|AAZ44592.1|	gi|3844878|gb|AAC71521.1|
OG0000038	Mycoplasma_gallisepticum	gi|71851984|gb|AAZ44592.1|	gi|284812229|gb|AAP56971.2|
OG0000038	Mycoplasma_agalactiae	gi|71851984|gb|AAZ44592.1|	gi|290752403|emb|CBH40374.1|, gi|290752774|emb|CBH40749.1|
OG0000039	Mycoplasma_genitalium	gi|71851983|gb|AAZ44591.1|	gi|3844941|gb|AAC71582.1|
OG0000039	Mycoplasma_gallisepticum	gi|71851983|gb|AAZ44591.1|	gi|284812148|gb|AAP56837.2|
OG0000039	Mycoplasma_agalactiae	gi|71851983|gb|AAZ44591.1|	gi|290752404|emb|CBH40375.1|, gi|290752775|emb|CBH40750.1|
OG0000040	Mycoplasma_agalactiae	gi|71851887|gb|AAZ44495.1|	gi|290752463|emb|CBH40435.1|
OG0000040	Mycoplasma_gallisepticum	gi|71851887|gb|AAZ44495.1|	gi|31541205|gb|AAP56507.1|, gi|284811926|gb|AAP56503.2|
OG0000040	Mycoplasma_genitalium	gi|71851887|gb|AAZ44495.1|	gi|3844630|gb|AAC71237.1|
OG0000041	Mycoplasma_gallisepticum	gi|71852038|gb|AAZ44646.1|, gi|144227490|gb|AAZ44238.2|	gi|284812236|gb|AAP56985.2|
OG0000041	Mycoplasma_genitalium	gi|71852038|gb|AAZ44646.1|, gi|144227490|gb|AAZ44238.2|	gi|3844701|gb|AAC71330.1|
OG0000041	Mycoplasma_agalactiae	gi|71852038|gb|AAZ44646.1|, gi|144227490|gb|AAZ44238.2|	gi|290752471|emb|CBH40443.1|
OG0000042	Mycoplasma_agalactiae	gi|144227476|gb|AAZ44215.2|	gi|290752510|emb|CBH40482.1|
OG0000042	Mycoplasma_agalactiae	gi|144227685|gb|AAZ44626.2|	gi|290752511|emb|CBH40483.1|, gi|290752944|emb|CBH40919.1|
OG0000043	Mycoplasma_agalactiae	gi|144227729|gb|AAZ44706.2|	gi|290752567|emb|CBH40539.1|, gi|290752540|emb|CBH40512.1|
OG0000043	Mycoplasma_gallisepticum	gi|144227729|gb|AAZ44706.2|	gi|284812276|gb|AAP57047.2|, gi|284812287|gb|AAP57056.2|
OG0000045	Mycoplasma_genitalium	gi|71851566|gb|AAZ44174.1|	gi|84626160|gb|AAC71265.2|
OG0000045	Mycoplasma_gallisepticum	gi|71851566|gb|AAZ44174.1|	gi|284812214|gb|AAP56936.2|
OG0000045	Mycoplasma_agalactiae	gi|71851566|gb|AAZ44174.1|	gi|290752681|emb|CBH40654.1|, gi|290752794|emb|CBH40769.1|
OG0000046	Mycoplasma_agalactiae	gi|71851740|gb|AAZ44348.1|	gi|290752800|emb|CBH40775.1|
OG0000046	Mycoplasma_gallisepticum	gi|71851740|gb|AAZ44348.1|	gi|31541627|gb|AAP56927.1|
OG0000046	Mycoplasma_genitalium	gi|71851740|gb|AAZ44348.1|	gi|3844881|gb|AAC71524.1|, gi|3844777|gb|AAC71400.1|
OG0000047	Mycoplasma_agalactiae	gi|144227646|gb|AAZ44547.2|	gi|290753026|emb|CBH41002.1|, gi|290752884|emb|CBH40859.1|
OG0000047	Mycoplasma_genitalium	gi|144227646|gb|AAZ44547.2|	gi|3844982|gb|AAC71619.1|
OG0000047	Mycoplasma_gallisepticum	gi|144227646|gb|AAZ44547.2|	gi|284812126|gb|AAP56803.2|
OG0000048	Mycoplasma_agalactiae	gi|71851860|gb|AAZ44468.1|	gi|290753076|emb|CBH41052.1|
OG0000048	Mycoplasma_genitalium	gi|71851860|gb|AAZ44468.1|	gi|3844715|gb|AAC71342.1|
OG0000048	Mycoplasma_gallisepticum	gi|71851860|gb|AAZ44468.1|	gi|31541133|gb|AAP56435.1|, gi|284812234|gb|AAP56983.2|
OG0000049	Mycoplasma_agalactiae	gi|144227641|gb|AAZ44536.2|	gi|290753082|emb|CBH41058.1|
OG0000049	Mycoplasma_gallisepticum	gi|144227641|gb|AAZ44536.2|	gi|31541069|gb|AAP56371.1|
OG0000049	Mycoplasma_genitalium	gi|144227641|gb|AAZ44536.2|	gi|3845063|gb|AAC72488.1|, gi|3844662|gb|AAC71282.1|
OG0000054	Mycoplasma_agalactiae	gi|144227723|gb|AAZ44691.2|	gi|290752280|emb|CBH40251.1|
OG0000054	Mycoplasma_gallisepticum	gi|144227723|gb|AAZ44691.2|	gi|284812216|gb|AAP56939.2|
OG0000054	Mycoplasma_genitalium	gi|144227723|gb|AAZ44691.2|	gi|3844709|gb|AAC71337.1|
OG0000055	Mycoplasma_gallisepticum	gi|71852084|gb|AAZ44692.1|	gi|31541638|gb|AAP56938.1|
OG0000055	Mycoplasma_genitalium	gi|71852084|gb|AAZ44692.1|	gi|3844710|gb|AAC71338.1|
OG0000055	Mycoplasma_agalactiae	gi|71852084|gb|AAZ44692.1|	gi|290752281|emb|CBH40252.1|
OG0000056	Mycoplasma_agalactiae	gi|144227724|gb|AAZ44693.2|	gi|290752282|emb|CBH40253.1|
OG0000056	Mycoplasma_gallisepticum	gi|144227724|gb|AAZ44693.2|	gi|284812215|gb|AAP56937.2|
OG0000056	Mycoplasma_genitalium	gi|144227724|gb|AAZ44693.2|	gi|3844711|gb|AAC71339.1|
OG0000057	Mycoplasma_gallisepticum	gi|71851945|gb|AAZ44553.1|	gi|284811892|gb|AAP56452.2|
OG0000057	Mycoplasma_agalactiae	gi|71851945|gb|AAZ44553.1|	gi|290752293|emb|CBH40264.1|, gi|290752742|emb|CBH40717.1|
OG0000058	Mycoplasma_agalactiae	gi|144227739|gb|AAZ44724.2|	gi|290752304|emb|CBH40275.1|
OG0000058	Mycoplasma_gallisepticum	gi|144227739|gb|AAZ44724.2|	gi|284812267|gb|AAP57029.2|
OG0000058	Mycoplasma_genitalium	gi|144227739|gb|AAZ44724.2|	gi|3844851|gb|AAC71473.1|
OG0000059	Mycoplasma_agalactiae	gi|71852115|gb|AAZ44723.1|	gi|290752305|emb|CBH40276.1|
OG0000059	Mycoplasma_gallisepticum	gi|71852115|gb|AAZ44723.1|	gi|31541729|gb|AAP57028.1|
OG0000059	Mycoplasma_genitalium	gi|71852115|gb|AAZ44723.1|	gi|3844850|gb|AAC71472.1|
OG0000060	Mycoplasma_gallisepticum	gi|71852112|gb|AAZ44720.1|	gi|284812244|gb|AAP56997.2|
OG0000060	Mycoplasma_genitalium	gi|71852112|gb|AAZ44720.1|	gi|1045727|gb|AAC71270.1|
OG0000060	Mycoplasma_agalactiae	gi|71852112|gb|AAZ44720.1|	gi|290752309|emb|CBH40280.1|
OG0000061	Mycoplasma_agalactiae	gi|71852014|gb|AAZ44622.1|	gi|290752311|emb|CBH40282.1|
OG0000061	Mycoplasma_genitalium	gi|71852014|gb|AAZ44622.1|	gi|3845027|gb|AAC72455.1|
OG0000061	Mycoplasma_gallisepticum	gi|71852014|gb|AAZ44622.1|	gi|284811883|gb|AAP56439.2|
OG0000062	Mycoplasma_agalactiae	gi|144227682|gb|AAZ44621.2|	gi|290752312|emb|CBH40283.1|
OG0000062	Mycoplasma_gallisepticum	gi|144227682|gb|AAZ44621.2|	gi|284811884|gb|AAP56440.2|
OG0000062	Mycoplasma_genitalium	gi|144227682|gb|AAZ44621.2|	gi|3845028|gb|AAC72456.1|
OG0000063	Mycoplasma_genitalium	gi|144227742|gb|AAZ44735.2|	gi|3845058|gb|AAC72483.1|
OG0000063	Mycoplasma_gallisepticum	gi|144227742|gb|AAZ44735.2|	gi|284811837|gb|AAP56360.2|
OG0000063	Mycoplasma_agalactiae	gi|144227742|gb|AAZ44735.2|	gi|290752316|emb|CBH40287.1|
OG0000064	Mycoplasma_agalactiae	gi|144227743|gb|AAZ44736.2|	gi|290752317|emb|CBH40288.1|
OG0000064	Mycoplasma_gallisepticum	gi|144227743|gb|AAZ44736.2|	gi|284812295|gb|AAP57068.2|
OG0000064	Mycoplasma_genitalium	gi|144227743|gb|AAZ44736.2|	gi|1045677|gb|AAC71225.1|
OG0000065	Mycoplasma_gallisepticum	gi|71851688|gb|AAZ44296.1|	gi|284812296|gb|AAP57069.2|
OG0000065	Mycoplasma_genitalium	gi|71851688|gb|AAZ44296.1|	gi|1045676|gb|AAC71224.1|
OG0000065	Mycoplasma_agalactiae	gi|71851688|gb|AAZ44296.1|	gi|290752318|emb|CBH40289.1|
OG0000066	Mycoplasma_agalactiae	gi|144227531|gb|AAZ44334.2|	gi|290752321|emb|CBH40292.1|
OG0000066	Mycoplasma_genitalium	gi|144227531|gb|AAZ44334.2|	gi|1045673|gb|AAC71221.1|
OG0000066	Mycoplasma_gallisepticum	gi|144227531|gb|AAZ44334.2|	gi|284812299|gb|AAP57072.2|
OG0000067	Mycoplasma_agalactiae	gi|71852151|gb|AAZ44759.1|	gi|290752323|emb|CBH40294.1|
OG0000067	Mycoplasma_genitalium	gi|71852151|gb|AAZ44759.1|	gi|3845061|gb|AAC72486.1|
OG0000067	Mycoplasma_gallisepticum	gi|71852151|gb|AAZ44759.1|	gi|31541055|gb|AAP56357.1|
OG0000068	Mycoplasma_agalactiae	gi|71852150|gb|AAZ44758.1|	gi|290752324|emb|CBH40295.1|
OG0000068	Mycoplasma_gallisepticum	gi|71852150|gb|AAZ44758.1|	gi|284811836|gb|AAP56358.2|
OG0000068	Mycoplasma_genitalium	gi|71852150|gb|AAZ44758.1|	gi|3845060|gb|AAC72485.1|
OG0000069	Mycoplasma_agalactiae	gi|71852149|gb|AAZ44757.1|	gi|290752325|emb|CBH40296.1|
OG0000069	Mycoplasma_genitalium	gi|71852149|gb|AAZ44757.1|	gi|3845059|gb|AAC72484.1|
OG0000069	Mycoplasma_gallisepticum	gi|71852149|gb|AAZ44757.1|	gi|31541057|gb|AAP56359.1|
OG0000070	Mycoplasma_agalactiae	gi|144227533|gb|AAZ44337.2|	gi|290752326|emb|CBH40297.1|
OG0000070	Mycoplasma_genitalium	gi|144227533|gb|AAZ44337.2|	gi|1045964|gb|AAC71492.1|
OG0000070	Mycoplasma_gallisepticum	gi|144227533|gb|AAZ44337.2|	gi|31541531|gb|AAP56831.1|
OG0000071	Mycoplasma_agalactiae	gi|71852011|gb|AAZ44619.1|	gi|290752330|emb|CBH40301.1|
OG0000071	Mycoplasma_gallisepticum	gi|71852011|gb|AAZ44619.1|	gi|284811887|gb|AAP56444.2|
OG0000071	Mycoplasma_genitalium	gi|71852011|gb|AAZ44619.1|	gi|3844641|gb|AAC71247.1|
OG0000072	Mycoplasma_genitalium	gi|144227545|gb|AAZ44356.2|	gi|3844791|gb|AAC71412.1|
OG0000072	Mycoplasma_gallisepticum	gi|144227545|gb|AAZ44356.2|	gi|284812054|gb|AAP56711.2|
OG0000072	Mycoplasma_agalactiae	gi|144227545|gb|AAZ44356.2|	gi|290752332|emb|CBH40303.1|
OG0000073	Mycoplasma_agalactiae	gi|144227477|gb|AAZ44218.2|	gi|290752333|emb|CBH40304.1|
OG0000073	Mycoplasma_genitalium	gi|144227477|gb|AAZ44218.2|	gi|3844685|gb|AAC71315.1|
OG0000073	Mycoplasma_gallisepticum	gi|144227477|gb|AAZ44218.2|	gi|31541659|gb|AAP56959.1|
OG0000074	Mycoplasma_agalactiae	gi|71851749|gb|AAZ44357.1|	gi|290752334|emb|CBH40305.1|
OG0000074	Mycoplasma_genitalium	gi|71851749|gb|AAZ44357.1|	gi|3844792|gb|AAC71413.1|
OG0000074	Mycoplasma_gallisepticum	gi|71851749|gb|AAZ44357.1|	gi|284812055|gb|AAP56712.2|
OG0000075	Mycoplasma_genitalium	gi|71851701|gb|AAZ44309.1|	gi|3844985|gb|AAC71622.1|
OG0000075	Mycoplasma_gallisepticum	gi|71851701|gb|AAZ44309.1|	gi|284812015|gb|AAP56640.2|
OG0000075	Mycoplasma_agalactiae	gi|71851701|gb|AAZ44309.1|	gi|290752335|emb|CBH40306.1|
OG0000076	Mycoplasma_agalactiae	gi|71851643|gb|AAZ44251.1|	gi|290752337|emb|CBH40308.1|
OG0000076	Mycoplasma_genitalium	gi|71851643|gb|AAZ44251.1|	gi|3844918|gb|AAC71561.1|
OG0000076	Mycoplasma_gallisepticum	gi|71851643|gb|AAZ44251.1|	gi|284812009|gb|AAP56629.2|
OG0000077	Mycoplasma_genitalium	gi|144227440|gb|AAZ44135.2|	gi|3844944|gb|AAC71585.1|
OG0000077	Mycoplasma_gallisepticum	gi|144227440|gb|AAZ44135.2|	gi|284812207|gb|AAP56923.2|
OG0000077	Mycoplasma_agalactiae	gi|144227440|gb|AAZ44135.2|	gi|290752339|emb|CBH40310.1|
OG0000078	Mycoplasma_genitalium	gi|144227652|gb|AAZ44559.2|	gi|84626151|gb|AAC71461.2|
OG0000078	Mycoplasma_gallisepticum	gi|144227652|gb|AAZ44559.2|	gi|284812097|gb|AAP56767.2|
OG0000078	Mycoplasma_agalactiae	gi|144227652|gb|AAZ44559.2|	gi|290752340|emb|CBH40311.1|
OG0000079	Mycoplasma_agalactiae	gi|71851500|gb|AAZ44108.1|	gi|290752344|emb|CBH40315.1|
OG0000079	Mycoplasma_gallisepticum	gi|71851500|gb|AAZ44108.1|	gi|284812255|gb|AAP57011.2|
OG0000079	Mycoplasma_genitalium	gi|71851500|gb|AAZ44108.1|	gi|3844632|gb|AAC71239.1|
OG0000080	Mycoplasma_genitalium	gi|71851935|gb|AAZ44543.1|	gi|3844668|gb|AAC71299.1|
OG0000080	Mycoplasma_gallisepticum	gi|71851935|gb|AAZ44543.1|	gi|31541714|gb|AAP57014.1|
OG0000080	Mycoplasma_agalactiae	gi|71851935|gb|AAZ44543.1|	gi|290752346|emb|CBH40317.1|
OG0000081	Mycoplasma_genitalium	gi|71851934|gb|AAZ44542.1|	gi|3844669|gb|AAC71300.1|
OG0000081	Mycoplasma_gallisepticum	gi|71851934|gb|AAZ44542.1|	gi|31541715|gb|AAP57015.1|
OG0000081	Mycoplasma_agalactiae	gi|71851934|gb|AAZ44542.1|	gi|290752347|emb|CBH40318.1|
OG0000082	Mycoplasma_agalactiae	gi|144227485|gb|AAZ44230.2|	gi|290752351|emb|CBH40322.1|
OG0000082	Mycoplasma_genitalium	gi|144227485|gb|AAZ44230.2|	gi|3844929|gb|AAC71571.1|
OG0000082	Mycoplasma_gallisepticum	gi|144227485|gb|AAZ44230.2|	gi|284812027|gb|AAP56668.2|
OG0000083	Mycoplasma_agalactiae	gi|71851569|gb|AAZ44177.1|	gi|290752354|emb|CBH40325.1|
OG0000083	Mycoplasma_genitalium	gi|71851569|gb|AAZ44177.1|	gi|3845035|gb|AAC72462.1|
OG0000083	Mycoplasma_gallisepticum	gi|71851569|gb|AAZ44177.1|	gi|284812230|gb|AAP56972.2|
OG0000084	Mycoplasma_agalactiae	gi|144227467|gb|AAZ44188.2|	gi|290752357|emb|CBH40328.1|
OG0000084	Mycoplasma_genitalium	gi|144227467|gb|AAZ44188.2|	gi|3844673|gb|AAC71304.1|
OG0000084	Mycoplasma_gallisepticum	gi|144227467|gb|AAZ44188.2|	gi|31541766|gb|AAP57065.1|
OG0000085	Mycoplasma_agalactiae	gi|71851581|gb|AAZ44189.1|	gi|290752358|emb|CBH40329.1|
OG0000085	Mycoplasma_genitalium	gi|71851581|gb|AAZ44189.1|	gi|3844690|gb|AAC71320.1|
OG0000085	Mycoplasma_gallisepticum	gi|71851581|gb|AAZ44189.1|	gi|284812132|gb|AAP56811.2|
OG0000086	Mycoplasma_genitalium	gi|71851595|gb|AAZ44203.1|	gi|3844867|gb|AAC71496.1|
OG0000086	Mycoplasma_gallisepticum	gi|71851595|gb|AAZ44203.1|	gi|31541535|gb|AAP56835.1|
OG0000086	Mycoplasma_agalactiae	gi|71851595|gb|AAZ44203.1|	gi|290752360|emb|CBH40331.1|
OG0000087	Mycoplasma_agalactiae	gi|71851596|gb|AAZ44204.1|	gi|290752361|emb|CBH40332.1|
OG0000087	Mycoplasma_gallisepticum	gi|71851596|gb|AAZ44204.1|	gi|284812147|gb|AAP56834.2|
