0_0: gene-MG_RS00005
0_88: gene-MG_RS00460
0_89: gene-MG_RS00465
0_90: gene-MG_RS00470
0_91: gene-MG_RS00475
0_92: gene-MG_RS00480
0_93: gene-MG_RS00485
0_94: gene-MG_RS00490
0_95: gene-MG_RS00495
0_96: gene-MG_RS00500
0_97: gene-MG_RS00505
0_98: gene-MG_RS00510
0_99: gene-MG_RS00515
0_100: gene-MG_RS00520
0_101: gene-MG_RS00525
0_102: gene-MG_RS00530
0_103: gene-MG_RS00535
0_104: gene-MG_RS00540
0_105: gene-MG_RS00545
0_106: gene-MG_RS00550
0_107: gene-MG_RS00555
0_108: gene-MG_RS00560
0_109: gene-MG_RS00565
0_110: gene-MG_RS00570
0_111: gene-MG_RS00575
0_112: gene-MG_RS00580
0_113: gene-MG_RS00585
0_114: gene-MG_RS00590
0_115: gene-MG_RS00595
0_116: gene-MG_RS00600
0_117: gene-MG_RS00605
0_118: gene-MG_RS00610
0_119: gene-MG_RS00615
0_120: gene-MG_RS00620
0_121: gene-MG_RS00625
0_122: gene-MG_RS00630
0_123: gene-MG_RS00635
0_124: gene-MG_RS00640
0_125: gene-MG_RS00645
0_126: gene-MG_RS00650
0_127: gene-MG_RS00655
0_128: gene-MG_RS00660
0_129: gene-MG_RS00665
0_130: gene-MG_RS00670
0_131: gene-MG_RS00675
0_132: gene-MG_RS00680
0_133: gene-MG_RS00685
0_134: gene-MG_RS00690
0_135: gene-MG_RS00695
0_136: gene-MG_RS00700
0_137: gene-MG_RS00705
0_138: gene-MG_RS00710
0_139: gene-MG_RS00715
0_140: gene-MG_RS00720
0_141: gene-MG_RS00725
0_142: gene-MG_RS00730
0_143: gene-MG_RS00735
0_144: gene-MG_RS00740
0_145: gene-MG_RS00745
0_146: gene-MG_RS00750
0_147: gene-MG_RS00755
0_148: gene-MG_RS00760
0_149: gene-MG_RS00765
0_150: gene-MG_RS00770
0_151: gene-MG_RS02900
0_152: gene-MG_RS00800
0_153: gene-MG_RS00805
0_154: gene-MG_RS00810
0_155: gene-MG_RS00815
0_156: gene-MG_RS00820
0_157: gene-MG_RS00825
0_158: gene-MG_RS00830
0_159: gene-MG_RS00835
0_160: gene-MG_RS00840
0_161: gene-MG_RS00845
0_162: gene-MG_RS00850
0_163: gene-MG_RS00855
0_164: gene-MG_RS00860
0_165: gene-MG_RS00865
0_166: gene-MG_RS00870
0_167: gene-MG_RS00875
0_168: gene-MG_RS00880
0_169: gene-MG_RS00885
0_170: gene-MG_RS00890
0_171: gene-MG_RS00895
0_172: gene-MG_RS00900
0_173: gene-MG_RS00905
0_174: gene-MG_RS00910
0_175: gene-MG_RS00915
0_176: gene-MG_RS00920
0_177: gene-MG_RS00925
0_178: gene-MG_RS00930
0_179: gene-MG_RS00935
0_180: gene-MG_RS00940
0_181: gene-MG_RS00945
0_182: gene-MG_RS00950
0_183: gene-MG_RS00955
0_184: gene-MG_RS00960
0_185: gene-MG_RS00965
0_186: gene-MG_RS00970
0_187: gene-MG_RS00975
0_188: gene-MG_RS02805
0_189: gene-MG_RS00980
0_190: gene-MG_RS00985
0_191: gene-MG_RS00990
0_192: gene-MG_RS00995
0_193: gene-MG_RS01000
0_194: gene-MG_RS01005
0_195: gene-MG_RS01010
0_196: gene-MG_RS01015
0_197: gene-MG_RS01020
0_198: gene-MG_RS01025
0_199: gene-MG_RS01030
0_200: gene-MG_RS02915
0_201: gene-MG_RS02855
0_202: gene-MG_RS01050
0_203: gene-MG_RS01055
0_204: gene-MG_RS01060
0_205: gene-MG_RS01065
0_206: gene-MG_RS02880
0_207: gene-MG_RS01070
0_208: gene-MG_RS01075
0_209: gene-MG_RS01080
0_210: gene-MG_RS02885
0_211: gene-MG_RS02920
0_212: gene-MG_RS01095
0_213: gene-MG_RS02820
0_214: gene-MG_RS02925
0_215: gene-MG_RS01100
0_216: gene-MG_RS01105
0_217: gene-MG_RS01110
0_218: gene-MG_RS01115
0_219: gene-MG_RS01120
0_220: gene-MG_RS01125
0_221: gene-MG_RS02930
0_222: gene-MG_RS02890
0_223: gene-MG_RS01135
0_224: gene-MG_RS01140
0_225: gene-MG_RS01150
0_226: gene-MG_RS01155
0_227: gene-MG_RS01160
0_228: gene-MG_RS01165
0_229: gene-MG_RS01170
0_230: gene-MG_RS01175
0_231: gene-MG_RS01180
0_232: gene-MG_RS01185
0_233: gene-MG_RS01190
0_234: gene-MG_RS01195
0_235: gene-MG_RS01200
0_236: gene-MG_RS01205
0_237: gene-MG_RS01210
0_238: gene-MG_RS01215
0_239: gene-MG_RS01220
0_240: gene-MG_RS01225
0_241: gene-MG_RS01230
0_242: gene-MG_RS01275
0_243: gene-MG_RS01280
0_244: gene-MG_RS01285
0_245: gene-MG_RS01290
0_246: gene-MG_RS01295
0_247: gene-MG_RS01305
0_248: gene-MG_RS01310
0_249: gene-MG_RS01315
0_250: gene-MG_RS01320
0_251: gene-MG_RS01325
0_252: gene-MG_RS01330
0_253: gene-MG_RS02895
0_254: gene-MG_RS01335
0_255: gene-MG_RS01340
0_256: gene-MG_RS01345
0_257: gene-MG_RS01350
0_258: gene-MG_RS01355
0_259: gene-MG_RS01360
0_260: gene-MG_RS01365
0_261: gene-MG_RS01370
0_262: gene-MG_RS01375
0_263: gene-MG_RS01380
0_264: gene-MG_RS01385
0_265: gene-MG_RS01390
0_266: gene-MG_RS01395
0_267: gene-MG_RS01400
0_268: gene-MG_RS01405
0_269: gene-MG_RS01410
0_270: gene-MG_RS01415
0_271: gene-MG_RS01420
0_272: gene-MG_RS01425
0_273: gene-MG_RS01430
0_274: gene-MG_RS01435
0_275: gene-MG_RS01440
0_276: gene-MG_RS01445
0_277: gene-MG_RS01450
0_278: gene-MG_RS01455
0_279: gene-MG_RS01460
0_280: gene-MG_RS01465
0_281: gene-MG_RS01470
0_282: gene-MG_RS01475
0_283: gene-MG_RS01485
0_284: gene-MG_RS01500
0_285: gene-MG_RS01505
0_286: gene-MG_RS01510
0_287: gene-MG_RS01515
0_288: gene-MG_RS01520
0_289: gene-MG_RS01525
0_290: gene-MG_RS01530
0_291: gene-MG_RS01535
0_292: gene-MG_RS01545
0_293: gene-MG_RS01550
0_294: gene-MG_RS01555
0_295: gene-MG_RS01560
0_296: gene-MG_RS01565
0_297: gene-MG_RS01570
0_298: gene-MG_RS01575
0_299: gene-MG_RS01580
0_300: gene-MG_RS01585
0_301: gene-MG_RS01590
0_302: gene-MG_RS01595
0_303: gene-MG_RS01600
0_304: gene-MG_RS01605
0_305: gene-MG_RS01610
0_306: gene-MG_RS01615
0_307: gene-MG_RS01620
0_308: gene-MG_RS01625
0_309: gene-MG_RS01630
0_310: gene-MG_RS01635
0_311: gene-MG_RS01640
0_312: gene-MG_RS01645
0_313: gene-MG_RS01650
0_314: gene-MG_RS01655
0_315: gene-MG_RS01660
0_316: gene-MG_RS01690
0_317: gene-MG_RS02945
0_318: gene-MG_RS01695
0_319: gene-MG_RS01700
0_320: gene-MG_RS01705
0_321: gene-MG_RS01710
0_322: gene-MG_RS02830
0_323: gene-MG_RS02935
0_324: gene-MG_RS01730
0_325: gene-MG_RS01735
0_326: gene-MG_RS02940
0_327: gene-MG_RS01745
0_328: gene-MG_RS01750
0_329: gene-MG_RS01755
0_330: gene-MG_RS01760
0_331: gene-MG_RS01765
0_332: gene-MG_RS01770
0_333: gene-MG_RS01775
0_334: gene-MG_RS01780
0_335: gene-MG_RS01785
0_336: gene-MG_RS01790
0_337: gene-MG_RS01795
0_338: gene-MG_RS01800
0_339: gene-MG_RS01805
0_340: gene-MG_RS01810
0_341: gene-MG_RS01815
0_342: gene-MG_RS01820
0_343: gene-MG_RS01825
0_344: gene-MG_RS01830
0_345: gene-MG_RS01835
0_346: gene-MG_RS01840
0_347: gene-MG_RS01845
0_348: gene-MG_RS01850
0_349: gene-MG_RS01855
0_350: gene-MG_RS01860
0_351: gene-MG_RS01865
0_352: gene-MG_RS01870
0_353: gene-MG_RS01875
0_354: gene-MG_RS01880
0_355: gene-MG_RS01885
0_356: gene-MG_RS01890
0_357: gene-MG_RS01895
0_358: gene-MG_RS01900
0_359: gene-MG_RS01905
0_360: gene-MG_RS01920
0_361: gene-MG_RS01965
0_362: gene-MG_RS01970
0_363: gene-MG_RS01975
0_364: gene-MG_RS01980
0_365: gene-MG_RS01985
0_366: gene-MG_RS01990
0_367: gene-MG_RS01995
0_368: gene-MG_RS02000
0_369: gene-MG_RS02005
0_370: gene-MG_RS02010
0_371: gene-MG_RS02015
0_372: gene-MG_RS02020
0_373: gene-MG_RS02025
0_374: gene-MG_RS02030
0_375: gene-MG_RS02035
0_376: gene-MG_RS02040
0_377: gene-MG_RS02045
0_378: gene-MG_RS02050
0_379: gene-MG_RS02055
0_380: gene-MG_RS02060
0_381: gene-MG_RS02065
0_382: gene-MG_RS02070
0_383: gene-MG_RS02905
0_384: gene-MG_RS02080
0_385: gene-MG_RS02085
0_386: gene-MG_RS02090
0_387: gene-MG_RS02095
0_388: gene-MG_RS02100
0_389: gene-MG_RS02105
0_390: gene-MG_RS02110
0_391: gene-MG_RS02115
0_392: gene-MG_RS02120
0_393: gene-MG_RS02130
0_394: gene-MG_RS02140
0_395: gene-MG_RS02145
0_396: gene-MG_RS02155
0_397: gene-MG_RS02160
0_398: gene-MG_RS02165
0_399: gene-MG_RS02170
0_400: gene-MG_RS02175
0_401: gene-MG_RS02180
0_402: gene-MG_RS02185
0_403: gene-MG_RS02190
0_404: gene-MG_RS02195
0_405: gene-MG_RS02200
0_406: gene-MG_RS02205
0_407: gene-MG_RS02210
0_408: gene-MG_RS02215
0_409: gene-MG_RS02220
0_410: gene-MG_RS02225
0_411: gene-MG_RS02845
0_412: gene-MG_RS02230
0_413: gene-MG_RS02235
0_414: gene-MG_RS02240
0_415: gene-MG_RS02245
0_416: gene-MG_RS02250
0_417: gene-MG_RS02255
0_418: gene-MG_RS02260
0_419: gene-MG_RS02265
0_420: gene-MG_RS02270
0_421: gene-MG_RS02275
0_422: gene-MG_RS02280
0_423: gene-MG_RS02285
0_424: gene-MG_RS02290
0_425: gene-MG_RS02295
0_426: gene-MG_RS02300
0_427: gene-MG_RS02305
0_428: gene-MG_RS02310
0_429: gene-MG_RS02315
0_430: gene-MG_RS02320
0_431: gene-MG_RS02330
0_432: gene-MG_RS02335
0_433: gene-MG_RS02340
0_434: gene-MG_RS02345
0_435: gene-MG_RS02350
0_436: gene-MG_RS02355
0_437: gene-MG_RS02360
0_438: gene-MG_RS02365
0_439: gene-MG_RS02370
0_440: gene-MG_RS02375
0_441: gene-MG_RS02380
0_442: gene-MG_RS02385
0_443: gene-MG_RS02390
0_444: gene-MG_RS02395
0_445: gene-MG_RS02400
0_446: gene-MG_RS02405
0_447: gene-MG_RS02410
0_448: gene-MG_RS02415
0_449: gene-MG_RS02420
0_450: gene-MG_RS02425
0_451: gene-MG_RS02430
0_452: gene-MG_RS02435
0_453: gene-MG_RS02440
0_454: gene-MG_RS02445
0_455: gene-MG_RS02450
0_456: gene-MG_RS02455
0_457: gene-MG_RS02875
0_458: gene-MG_RS02465
0_459: gene-MG_RS02470
0_460: gene-MG_RS02475
0_461: gene-MG_RS02480
0_462: gene-MG_RS02485
0_463: gene-MG_RS02490
0_464: gene-MG_RS02495
0_465: gene-MG_RS02500
0_466: gene-MG_RS02505
0_467: gene-MG_RS02510
0_468: gene-MG_RS02515
0_469: gene-MG_RS02520
0_470: gene-MG_RS02525
0_471: gene-MG_RS02530
0_472: gene-MG_RS02535
0_473: gene-MG_RS02540
0_474: gene-MG_RS02850
0_475: gene-MG_RS02545
0_476: gene-MG_RS02550
0_477: gene-MG_RS02555
0_478: gene-MG_RS02560
0_479: gene-MG_RS02565
0_480: gene-MG_RS02570
0_481: gene-MG_RS02575
0_482: gene-MG_RS02580
0_483: gene-MG_RS02585
0_484: gene-MG_RS02590
0_485: gene-MG_RS02595
0_486: gene-MG_RS02600
0_487: gene-MG_RS02605
0_488: gene-MG_RS02610
0_489: gene-MG_RS02615
0_490: gene-MG_RS02620
0_491: gene-MG_RS02625
0_492: gene-MG_RS02630
0_493: gene-MG_RS02635
0_494: gene-MG_RS02640
0_495: gene-MG_RS02645
0_496: gene-MG_RS02650
0_497: gene-MG_RS02655
0_498: gene-MG_RS02660
0_499: gene-MG_RS02665
0_500: gene-MG_RS02670
0_501: gene-MG_RS02675
0_502: gene-MG_RS02680
0_503: gene-MG_RS02685
0_504: gene-MG_RS02690
0_505: gene-MG_RS02695
0_506: gene-MG_RS02700
0_507: gene-MG_RS02705
0_508: gene-MG_RS02710
0_509: gene-MG_RS02715
0_510: gene-MG_RS02720
0_511: gene-MG_RS02725
0_512: gene-MG_RS02730
0_513: gene-MG_RS02735
0_514: gene-MG_RS02740
0_515: gene-MG_RS02745
0_516: gene-MG_RS02750
0_517: gene-MG_RS02755
0_518: gene-MG_RS02760
0_519: gene-MG_RS02765
0_520: gene-MG_RS02770
1_0: gene-HFMG94VAA_RS00005
1_1: gene-HFMG94VAA_RS00010
1_2: gene-HFMG94VAA_RS00015
1_3: gene-HFMG94VAA_RS04330
1_4: gene-HFMG94VAA_RS04335
1_5: gene-HFMG94VAA_RS00030
1_6: gene-HFMG94VAA_RS00035
1_7: gene-HFMG94VAA_RS00040
1_8: gene-HFMG94VAA_RS00045
1_9: gene-HFMG94VAA_RS00050
1_10: gene-HFMG94VAA_RS00055
1_11: gene-HFMG94VAA_RS00060
1_12: gene-HFMG94VAA_RS00065
1_13: gene-HFMG94VAA_RS00070
1_14: gene-HFMG94VAA_RS00075
1_15: gene-HFMG94VAA_RS00080
1_16: gene-HFMG94VAA_RS00085
1_17: gene-HFMG94VAA_RS00090
1_18: gene-HFMG94VAA_RS00095
1_19: gene-HFMG94VAA_RS00100
1_20: gene-HFMG94VAA_RS00105
1_21: gene-HFMG94VAA_RS00110
1_22: gene-HFMG94VAA_RS00115
1_23: gene-HFMG94VAA_RS00120
1_24: gene-HFMG94VAA_RS04125
1_25: gene-HFMG94VAA_RS00125
1_26: gene-HFMG94VAA_RS00130
1_27: gene-HFMG94VAA_RS00135
1_28: gene-HFMG94VAA_RS00140
1_29: gene-HFMG94VAA_RS00145
1_30: gene-HFMG94VAA_RS00150
1_31: gene-HFMG94VAA_RS00155
1_32: gene-HFMG94VAA_RS00160
1_33: gene-HFMG94VAA_RS00165
1_34: gene-HFMG94VAA_RS00170
1_35: gene-HFMG94VAA_RS00175
1_36: gene-HFMG94VAA_RS00180
1_37: gene-HFMG94VAA_RS00185
1_38: gene-HFMG94VAA_RS04130
1_39: gene-HFMG94VAA_RS00190
1_40: gene-HFMG94VAA_RS00195
1_41: gene-HFMG94VAA_RS00200
1_42: gene-HFMG94VAA_RS00205
1_43: gene-HFMG94VAA_RS00210
1_44: gene-HFMG94VAA_RS00215
1_45: gene-HFMG94VAA_RS00220
1_46: gene-HFMG94VAA_RS00225
1_47: gene-HFMG94VAA_RS00230
1_48: gene-HFMG94VAA_RS00235
1_49: gene-HFMG94VAA_RS04340
1_50: gene-HFMG94VAA_RS04095
1_51: gene-HFMG94VAA_RS00250
1_52: gene-HFMG94VAA_RS00255
1_53: gene-HFMG94VAA_RS00260
1_54: gene-HFMG94VAA_RS00265
1_55: gene-HFMG94VAA_RS00270
1_56: gene-HFMG94VAA_RS00275
1_57: gene-HFMG94VAA_RS00280
1_58: gene-HFMG94VAA_RS00285
1_59: gene-HFMG94VAA_RS00290
1_60: gene-HFMG94VAA_RS00295
1_61: gene-HFMG94VAA_RS00300
1_62: gene-HFMG94VAA_RS00305
1_63: gene-HFMG94VAA_RS00310
1_64: gene-HFMG94VAA_RS00315
1_65: gene-HFMG94VAA_RS00320
1_66: gene-HFMG94VAA_RS00325
1_67: gene-HFMG94VAA_RS00330
1_68: gene-HFMG94VAA_RS00335
1_69: gene-HFMG94VAA_RS00340
1_70: gene-HFMG94VAA_RS00345
1_71: gene-HFMG94VAA_RS00350
1_72: gene-HFMG94VAA_RS00355
1_73: gene-HFMG94VAA_RS00360
1_74: gene-HFMG94VAA_RS00365
1_75: gene-HFMG94VAA_RS00370
1_76: gene-HFMG94VAA_RS00385
1_77: gene-HFMG94VAA_RS00390
1_78: gene-HFMG94VAA_RS00395
1_79: gene-HFMG94VAA_RS00400
1_80: gene-HFMG94VAA_RS00405
1_81: gene-HFMG94VAA_RS00410
1_82: gene-HFMG94VAA_RS00415
1_83: gene-HFMG94VAA_RS00420
1_84: gene-HFMG94VAA_RS00425
1_85: gene-HFMG94VAA_RS00430
1_86: gene-HFMG94VAA_RS00435
1_87: gene-HFMG94VAA_RS00440
1_88: gene-HFMG94VAA_RS00445
1_89: gene-HFMG94VAA_RS00450
1_90: gene-HFMG94VAA_RS00455
1_91: gene-HFMG94VAA_RS00460
1_92: gene-HFMG94VAA_RS00465
1_93: gene-HFMG94VAA_RS00470
1_94: gene-HFMG94VAA_RS00475
1_95: gene-HFMG94VAA_RS00480
1_96: gene-HFMG94VAA_RS00485
1_97: gene-HFMG94VAA_RS00490
1_98: gene-HFMG94VAA_RS00495
1_99: gene-HFMG94VAA_RS00500
1_100: gene-HFMG94VAA_RS00505
1_101: gene-HFMG94VAA_RS00510
1_102: gene-HFMG94VAA_RS00515
1_103: gene-HFMG94VAA_RS00520
1_104: gene-HFMG94VAA_RS00525
1_105: gene-HFMG94VAA_RS00530
1_106: gene-HFMG94VAA_RS00535
1_107: gene-HFMG94VAA_RS00540
1_108: gene-HFMG94VAA_RS00545
1_109: gene-HFMG94VAA_RS00550
1_110: gene-HFMG94VAA_RS00555
1_111: gene-HFMG94VAA_RS00560
1_112: gene-HFMG94VAA_RS04235
1_113: gene-HFMG94VAA_RS00570
1_114: gene-HFMG94VAA_RS00575
1_115: gene-HFMG94VAA_RS00580
1_116: gene-HFMG94VAA_RS00585
1_117: gene-HFMG94VAA_RS00590
1_118: gene-HFMG94VAA_RS00595
1_119: gene-HFMG94VAA_RS00600
1_120: gene-HFMG94VAA_RS04240
1_121: gene-HFMG94VAA_RS04345
1_122: gene-HFMG94VAA_RS04245
1_123: gene-HFMG94VAA_RS00620
1_124: gene-HFMG94VAA_RS00625
1_125: gene-HFMG94VAA_RS00630
1_126: gene-HFMG94VAA_RS00635
1_127: gene-HFMG94VAA_RS00640
1_128: gene-HFMG94VAA_RS00645
1_129: gene-HFMG94VAA_RS00650
1_130: gene-HFMG94VAA_RS00655
1_131: gene-HFMG94VAA_RS00660
1_132: gene-HFMG94VAA_RS00665
1_133: gene-HFMG94VAA_RS00670
1_134: gene-HFMG94VAA_RS00675
1_135: gene-HFMG94VAA_RS00680
1_136: gene-HFMG94VAA_RS00685
1_137: gene-HFMG94VAA_RS00690
1_138: gene-HFMG94VAA_RS00695
1_139: gene-HFMG94VAA_RS00700
1_140: gene-HFMG94VAA_RS00735
1_141: gene-HFMG94VAA_RS00740
1_142: gene-HFMG94VAA_RS00745
1_143: gene-HFMG94VAA_RS00750
1_144: gene-HFMG94VAA_RS00755
1_145: gene-HFMG94VAA_RS00760
1_146: gene-HFMG94VAA_RS00765
1_147: gene-HFMG94VAA_RS00770
1_148: gene-HFMG94VAA_RS00775
1_149: gene-HFMG94VAA_RS00780
1_150: gene-HFMG94VAA_RS00785
1_151: gene-HFMG94VAA_RS00790
1_152: gene-HFMG94VAA_RS00795
1_153: gene-HFMG94VAA_RS00800
1_154: gene-HFMG94VAA_RS03960
1_155: gene-HFMG94VAA_RS00805
1_156: gene-HFMG94VAA_RS00810
1_157: gene-HFMG94VAA_RS00815
1_158: gene-HFMG94VAA_RS04350
1_159: gene-HFMG94VAA_RS00820
1_160: gene-HFMG94VAA_RS00825
1_161: gene-HFMG94VAA_RS04250
1_162: gene-HFMG94VAA_RS04255
1_163: gene-HFMG94VAA_RS00840
1_164: gene-HFMG94VAA_RS00845
1_165: gene-HFMG94VAA_RS00850
1_166: gene-HFMG94VAA_RS04260
1_167: gene-HFMG94VAA_RS04265
1_168: gene-HFMG94VAA_RS00865
1_169: gene-HFMG94VAA_RS00870
1_170: gene-HFMG94VAA_RS00875
1_171: gene-HFMG94VAA_RS04270
1_172: gene-HFMG94VAA_RS04275
1_173: gene-HFMG94VAA_RS00890
1_174: gene-HFMG94VAA_RS00895
1_175: gene-HFMG94VAA_RS00900
1_176: gene-HFMG94VAA_RS04280
1_177: gene-HFMG94VAA_RS04285
1_178: gene-HFMG94VAA_RS00915
1_179: gene-HFMG94VAA_RS00920
1_180: gene-HFMG94VAA_RS00925
1_181: gene-HFMG94VAA_RS04290
1_182: gene-HFMG94VAA_RS04295
1_183: gene-HFMG94VAA_RS00940
1_184: gene-HFMG94VAA_RS00945
1_185: gene-HFMG94VAA_RS03965
1_186: gene-HFMG94VAA_RS00955
1_187: gene-HFMG94VAA_RS00960
1_188: gene-HFMG94VAA_RS00965
1_189: gene-HFMG94VAA_RS00970
1_190: gene-HFMG94VAA_RS01020
1_191: gene-HFMG94VAA_RS01025
1_192: gene-HFMG94VAA_RS01035
1_193: gene-HFMG94VAA_RS01040
1_194: gene-HFMG94VAA_RS01045
1_195: gene-HFMG94VAA_RS01050
1_196: gene-HFMG94VAA_RS01055
1_197: gene-HFMG94VAA_RS01060
1_198: gene-HFMG94VAA_RS01065
1_199: gene-HFMG94VAA_RS01070
1_200: gene-HFMG94VAA_RS01075
1_201: gene-HFMG94VAA_RS01080
1_202: gene-HFMG94VAA_RS01085
1_203: gene-HFMG94VAA_RS01090
1_204: gene-HFMG94VAA_RS01095
1_205: gene-HFMG94VAA_RS01100
1_206: gene-HFMG94VAA_RS01105
1_207: gene-HFMG94VAA_RS01110
1_208: gene-HFMG94VAA_RS01115
1_209: gene-HFMG94VAA_RS01120
1_210: gene-HFMG94VAA_RS01125
1_211: gene-HFMG94VAA_RS01130
1_212: gene-HFMG94VAA_RS01135
1_213: gene-HFMG94VAA_RS01140
1_214: gene-HFMG94VAA_RS01145
1_215: gene-HFMG94VAA_RS01150
1_216: gene-HFMG94VAA_RS01155
1_217: gene-HFMG94VAA_RS01160
1_218: gene-HFMG94VAA_RS01165
1_219: gene-HFMG94VAA_RS01195
1_220: gene-HFMG94VAA_RS01200
1_221: gene-HFMG94VAA_RS01205
1_222: gene-HFMG94VAA_RS01210
1_223: gene-HFMG94VAA_RS01215
1_224: gene-HFMG94VAA_RS01220
1_225: gene-HFMG94VAA_RS01225
1_226: gene-HFMG94VAA_RS04135
1_227: gene-HFMG94VAA_RS01230
1_228: gene-HFMG94VAA_RS01235
1_229: gene-HFMG94VAA_RS01240
1_230: gene-HFMG94VAA_RS01245
1_231: gene-HFMG94VAA_RS04300
1_232: gene-HFMG94VAA_RS04105
1_233: gene-HFMG94VAA_RS01260
1_234: gene-HFMG94VAA_RS01265
1_235: gene-HFMG94VAA_RS01270
1_236: gene-HFMG94VAA_RS01275
1_237: gene-HFMG94VAA_RS01280
1_238: gene-HFMG94VAA_RS01285
1_239: gene-HFMG94VAA_RS01290
1_240: gene-HFMG94VAA_RS01295
1_241: gene-HFMG94VAA_RS01300
1_242: gene-HFMG94VAA_RS01305
1_243: gene-HFMG94VAA_RS01310
1_244: gene-HFMG94VAA_RS01315
1_245: gene-HFMG94VAA_RS01325
1_246: gene-HFMG94VAA_RS01330
1_247: gene-HFMG94VAA_RS01335
1_248: gene-HFMG94VAA_RS04140
1_249: gene-HFMG94VAA_RS01340
1_250: gene-HFMG94VAA_RS01345
1_251: gene-HFMG94VAA_RS01350
1_252: gene-HFMG94VAA_RS01355
1_253: gene-HFMG94VAA_RS01360
1_254: gene-HFMG94VAA_RS01370
1_255: gene-HFMG94VAA_RS01375
1_256: gene-HFMG94VAA_RS01380
1_257: gene-HFMG94VAA_RS01385
1_258: gene-HFMG94VAA_RS01405
1_259: gene-HFMG94VAA_RS01410
1_260: gene-HFMG94VAA_RS01415
1_261: gene-HFMG94VAA_RS01420
1_262: gene-HFMG94VAA_RS01425
1_263: gene-HFMG94VAA_RS01430
1_264: gene-HFMG94VAA_RS01435
1_265: gene-HFMG94VAA_RS01440
1_266: gene-HFMG94VAA_RS01445
1_267: gene-HFMG94VAA_RS01450
1_268: gene-HFMG94VAA_RS01455
1_269: gene-HFMG94VAA_RS01460
1_270: gene-HFMG94VAA_RS01465
1_271: gene-HFMG94VAA_RS01470
1_272: gene-HFMG94VAA_RS01475
1_273: gene-HFMG94VAA_RS01480
1_274: gene-HFMG94VAA_RS01485
1_275: gene-HFMG94VAA_RS01490
1_276: gene-HFMG94VAA_RS01495
1_277: gene-HFMG94VAA_RS01505
1_278: gene-HFMG94VAA_RS03995
1_279: gene-HFMG94VAA_RS01515
1_280: gene-HFMG94VAA_RS01520
1_281: gene-HFMG94VAA_RS01525
1_282: gene-HFMG94VAA_RS01530
1_283: gene-HFMG94VAA_RS01535
1_284: gene-HFMG94VAA_RS01540
1_285: gene-HFMG94VAA_RS04175
1_286: gene-HFMG94VAA_RS01555
1_287: gene-HFMG94VAA_RS01560
1_288: gene-HFMG94VAA_RS01565
1_289: gene-HFMG94VAA_RS01570
1_290: gene-HFMG94VAA_RS01575
1_291: gene-HFMG94VAA_RS01580
1_292: gene-HFMG94VAA_RS01585
